Bedrooms,Bathrooms,Size,Type,Price,City,State,perSqFt,Region
8.0,4.0,3776.0,Multifamily,433000.0,Anchorage,AK,114.67161016949153,West
3.0,3.0,1505.0,Condo,314900.0,Anchorage,AK,209.2358803986711,West
5.0,3.0,2844.0,House,549000.0,Anchorage,AK,193.0379746835443,West
2.0,2.0,1343.0,Condo,240000.0,Eagle River,AK,178.70439314966492,West
2.0,1.0,1007.0,Condo,133500.0,Anchorage,AK,132.57199602780537,West
2.0,2.0,891.0,Condo,240000.0,Anchorage,AK,269.36026936026934,West
3.0,2.0,2637.0,Multifamily,312800.0,Anchorage,AK,118.61964353431931,West
2.0,1.0,889.0,Condo,170000.0,Anchorage,AK,191.22609673790777,West
5.0,4.0,4369.0,House,720000.0,Anchorage,AK,164.79743648432137,West
6.0,5.0,3045.0,Multifamily,535000.0,Anchorage,AK,175.69786535303777,West
12.0,6.0,6468.0,Multifamily,575000.0,Anchorage,AK,88.89919604205319,West
3.0,2.0,1312.0,House,325000.0,Eagle River,AK,247.71341463414635,West
10.0,6.0,8500.0,House,1000000.0,Chugiak,AK,117.6470588235294,West
3.0,3.0,1856.0,House,440000.0,Eagle River,AK,237.06896551724137,West
2.0,2.0,982.0,Condo,138000.0,Anchorage,AK,140.5295315682281,West
4.0,3.0,2782.0,House,525000.0,Eagle River,AK,188.71315600287562,West
2.0,1.0,865.0,Condo,138000.0,Anchorage,AK,159.53757225433526,West
3.0,2.0,1185.0,Condo,204900.0,Anchorage,AK,172.91139240506328,West
2.0,1.0,1019.0,Condo,125000.0,Anchorage,AK,122.6692836113837,West
12.0,4.0,4680.0,Multifamily,525000.0,Anchorage,AK,112.17948717948718,West
11.0,8.0,6844.0,Multifamily,725000.0,Anchorage,AK,105.9322033898305,West
6.0,5.0,3072.0,Multifamily,525000.0,Anchorage,AK,170.8984375,West
2.0,2.0,1232.0,Condo,219900.0,Anchorage,AK,178.49025974025975,West
3.0,4.0,4341.0,House,1025000.0,Anchorage,AK,236.12070951393687,West
2.0,2.0,2685.0,House,519500.0,Indian,AK,193.48230912476723,West
3.0,2.0,1065.0,Condo,95000.0,Anchorage,AK,89.2018779342723,West
17.0,8.0,4560.0,Multifamily,575000.0,Anchorage,AK,126.09649122807018,West
2.0,1.0,826.0,Condo,97000.0,Anchorage,AK,117.43341404358354,West
2.0,2.0,940.0,Condo,139900.0,Anchorage,AK,148.82978723404256,West
5.0,3.0,2184.0,House,395000.0,Eagle River,AK,180.86080586080587,West
3.0,4.0,2071.0,Condo,514900.0,Anchorage,AK,248.62385321100916,West
3.0,3.0,2322.0,House,444900.0,Eagle River,AK,191.60206718346254,West
8.0,8.0,2016.0,Multifamily,424000.0,Anchorage,AK,210.31746031746033,West
2.0,2.0,1076.0,Condo,219900.0,Anchorage,AK,204.36802973977694,West
2.0,2.0,989.0,Condo,168000.0,Eagle River,AK,169.8685540950455,West
12.0,6.0,5616.0,Multifamily,515000.0,Anchorage,AK,91.7022792022792,West
4.0,2.0,2080.0,House,325000.0,Anchorage,AK,156.25,West
2.0,1.0,623.0,Condo,97000.0,Anchorage,AK,155.69823434991974,West
3.0,2.0,1680.0,Condo,298000.0,Anchorage,AK,177.38095238095238,West
5.0,2.0,2000.0,Multifamily,298000.0,Anchorage,AK,149.0,West
4.0,3.0,3020.0,House,725000.0,Anchorage,AK,240.0662251655629,West
2.0,1.0,868.0,Condo,139000.0,Anchorage,AK,160.13824884792626,West
2.0,1.0,1100.0,Condo,169000.0,Anchorage,AK,153.63636363636363,West
12.0,6.0,6048.0,Multifamily,535000.0,Anchorage,AK,88.45899470899471,West
2.0,2.0,1346.0,Condo,179500.0,Anchorage,AK,133.35809806835067,West
4.0,2.0,1728.0,Multifamily,299900.0,Anchorage,AK,173.55324074074073,West
9.0,4.0,4138.0,Multifamily,530000.0,Anchorage,AK,128.08119864668922,West
4.0,2.0,5600.0,House,530000.0,Chugiak,AK,94.64285714285714,West
4.0,3.0,2244.0,House,439900.0,Eagle River,AK,196.03386809269162,West
3.0,2.0,1361.0,Condo,245000.0,Anchorage,AK,180.01469507714916,West
3.0,3.0,1728.0,House,394900.0,Anchorage,AK,228.53009259259258,West
2.0,1.0,880.0,Condo,127000.0,Anchorage,AK,144.3181818181818,West
15.0,8.0,8224.0,Multifamily,795000.0,Anchorage,AK,96.66828793774319,West
3.0,3.0,3633.0,House,795000.0,Anchorage,AK,218.82741535920727,West
5.0,4.0,3686.0,House,739000.0,Anchorage,AK,200.488334237656,West
4.0,2.0,1896.0,Multifamily,439000.0,Anchorage,AK,231.54008438818565,West
5.0,4.0,4155.0,House,795000.0,Anchorage,AK,191.33574007220216,West
5.0,4.0,3816.0,House,569000.0,Anchorage,AK,149.1090146750524,West
6.0,4.0,3419.0,House,795000.0,Anchorage,AK,232.5241298625329,West
4.0,3.0,2053.0,House,535000.0,Anchorage,AK,260.59425231368726,West
2.0,2.0,831.0,Condo,169900.0,Anchorage,AK,204.45246690734055,West
2.0,2.0,1459.0,Condo,299500.0,Anchorage,AK,205.27758738862235,West
2.0,2.0,1213.0,Condo,245000.0,Anchorage,AK,201.97856553998352,West
2.0,2.0,1805.0,Condo,299900.0,Anchorage,AK,166.14958448753464,West
2.0,2.0,1092.0,Condo,136372.0,Anchorage,AK,124.88278388278388,West
3.0,2.0,1728.0,House,525000.0,Anchorage,AK,303.81944444444446,West
3.0,3.0,1421.0,Condo,215000.0,Anchorage,AK,151.30190007037297,West
4.0,4.0,2586.0,House,425000.0,Eagle River,AK,164.34648105181748,West
8.0,6.0,3552.0,Multifamily,382000.0,Anchorage,AK,107.54504504504504,West
6.0,3.0,2264.0,House,439999.0,Anchorage,AK,194.3458480565371,West
6.0,4.0,3778.0,House,570000.0,Anchorage,AK,150.87347803070406,West
8.0,6.0,3552.0,Multifamily,395000.0,Anchorage,AK,111.20495495495496,West
8.0,4.0,3456.0,Multifamily,439900.0,Anchorage,AK,127.28587962962963,West
2.0,1.0,760.0,Condo,125000.0,Anchorage,AK,164.47368421052633,West
6.0,6.0,3588.0,Multifamily,439900.0,Anchorage,AK,122.60312151616499,West
2.0,1.0,974.0,Condo,135000.0,Anchorage,AK,138.60369609856264,West
25.0,9.0,7671.0,Multifamily,799000.0,Anchorage,AK,104.15851909790119,West
2.0,1.0,894.0,Condo,125000.0,Anchorage,AK,139.82102908277406,West
2.0,2.0,1089.0,Condo,245000.0,Anchorage,AK,224.97704315886133,West
16.0,14.0,6025.0,Multifamily,675000.0,Anchorage,AK,112.03319502074689,West
4.0,3.0,1880.0,Townhouse,185000.0,Anchorage,AK,98.40425531914893,West
5.0,4.0,3384.0,Multifamily,470900.0,Anchorage,AK,139.15484633569739,West
2.0,2.0,988.0,Condo,224900.0,Eagle River,AK,227.6315789473684,West
3.0,3.0,1280.0,Townhouse,262500.0,Anchorage,AK,205.078125,West
2.0,1.0,1260.0,Condo,194900.0,Anchorage,AK,154.68253968253967,West
3.0,2.0,1210.0,Condo,197000.0,Anchorage,AK,162.8099173553719,West
4.0,3.0,2784.0,House,649500.0,Girdwood,AK,233.29741379310346,West
4.0,2.0,1650.0,Multifamily,350000.0,Anchorage,AK,212.12121212121212,West
4.0,4.0,3948.0,House,949000.0,Anchorage,AK,240.37487335359677,West
4.0,4.0,1920.0,Multifamily,272500.0,Anchorage,AK,141.92708333333334,West
9.0,5.0,6496.0,House,955000.0,Anchorage,AK,147.01354679802955,West
8.0,7.0,3060.0,Multifamily,375000.0,Anchorage,AK,122.54901960784314,West
4.0,2.0,1858.0,House,364000.0,Eagle River,AK,195.90958019375674,West
4.0,4.0,3072.0,House,624000.0,Eagle River,AK,203.125,West
2.0,1.0,1040.0,Condo,189900.0,Anchorage,AK,182.59615384615384,West
2.0,2.0,977.0,Condo,159500.0,Anchorage,AK,163.25486182190377,West
2.0,1.0,825.0,Condo,110000.0,Anchorage,AK,133.33333333333334,West
8.0,6.0,4568.0,Multifamily,637300.0,Anchorage,AK,139.5140105078809,West
6.0,3.0,2738.0,Multifamily,264900.0,Anchorage,AK,96.74945215485756,West
3.0,2.0,1750.0,House,409000.0,Anchorage,AK,233.71428571428572,West
2.0,2.0,747.0,Condo,155000.0,Anchorage,AK,207.49665327978582,West
4.0,3.0,2065.0,House,479000.0,Anchorage,AK,231.96125907990316,West
3.0,3.0,1900.0,Multifamily,250000.0,Anchorage,AK,131.57894736842104,West
5.0,2.0,1900.0,Multifamily,350000.0,Anchorage,AK,184.21052631578948,West
3.0,1.0,1368.0,House,369000.0,Anchorage,AK,269.7368421052632,West
2.0,1.0,674.0,Condo,103000.0,Anchorage,AK,152.81899109792286,West
2.0,1.0,620.0,Condo,105000.0,Anchorage,AK,169.3548387096774,West
8.0,4.0,3536.0,Multifamily,350000.0,Anchorage,AK,98.98190045248869,West
7.0,4.0,3360.0,Multifamily,365000.0,Anchorage,AK,108.63095238095238,West
3.0,2.0,1523.0,Condo,260000.0,Anchorage,AK,170.71569271175312,West
3.0,2.0,1305.0,House,275000.0,Anchorage,AK,210.727969348659,West
6.0,6.0,3104.0,Multifamily,619000.0,Anchorage,AK,199.4201030927835,West
5.0,2.0,1920.0,Multifamily,365000.0,Anchorage,AK,190.10416666666666,West
3.0,3.0,1689.0,Townhouse,365000.0,Anchorage,AK,216.10420367081113,West
8.0,4.0,3776.0,Multifamily,375000.0,Anchorage,AK,99.3114406779661,West
3.0,2.0,1743.0,House,209900.0,Anchorage,AK,120.4245553643144,West
4.0,3.0,2908.0,House,639500.0,Anchorage,AK,219.91059147180192,West
4.0,5.0,5238.0,House,899000.0,Anchorage,AK,171.6303932798778,West
5.0,4.0,2704.0,Multifamily,365000.0,Anchorage,AK,134.9852071005917,West
3.0,2.0,1806.0,House,365000.0,Anchorage,AK,202.10409745293467,West
5.0,3.0,3050.0,House,450000.0,Anchorage,AK,147.54098360655738,West
12.0,4.0,4800.0,Multifamily,409000.0,Anchorage,AK,85.20833333333333,West
8.0,4.0,3776.0,Multifamily,412000.0,Anchorage,AK,109.11016949152543,West
12.0,6.0,5868.0,Multifamily,649000.0,Anchorage,AK,110.59986366734833,West
3.0,3.0,1756.0,Multifamily,255000.0,Anchorage,AK,145.21640091116174,West
4.0,2.0,1886.0,House,365000.0,Anchorage,AK,193.53128313891835,West
4.0,1.0,1567.0,House,250000.0,Eagle River,AK,159.5405232929164,West
3.0,3.0,2119.0,Condo,404900.0,Eagle River,AK,191.08069844266163,West
3.0,2.0,1267.0,Condo,111000.0,Anchorage,AK,87.60852407261247,West
5.0,3.0,2773.0,House,635999.0,Anchorage,AK,229.35412910205554,West
3.0,2.0,2010.0,Condo,349999.0,Anchorage,AK,174.12885572139302,West
8.0,4.0,3640.0,Multifamily,350000.0,Anchorage,AK,96.15384615384616,West
3.0,3.0,1534.0,Condo,270000.0,Eagle River,AK,176.01043024771838,West
4.0,3.0,3385.0,House,950000.0,Anchorage,AK,280.64992614475625,West
11.0,6.0,5712.0,Multifamily,475000.0,Anchorage,AK,83.15826330532212,West
3.0,2.0,1870.0,House,450000.0,Anchorage,AK,240.64171122994654,West
5.0,4.0,4241.0,House,932500.0,Eagle River,AK,219.87738740863003,West
4.0,2.0,1908.0,House,369900.0,Eagle River,AK,193.8679245283019,West
9.0,4.0,3744.0,Multifamily,369900.0,Anchorage,AK,98.79807692307692,West
4.0,3.0,2376.0,House,469900.0,Eagle River,AK,197.76936026936028,West
8.0,4.0,3840.0,Multifamily,650000.0,Anchorage,AK,169.27083333333334,West
11.0,6.0,4704.0,Multifamily,650000.0,Anchorage,AK,138.18027210884352,West
3.0,3.0,1424.0,Condo,225000.0,Anchorage,AK,158.0056179775281,West
3.0,2.0,1372.0,Condo,265000.0,Anchorage,AK,193.14868804664724,West
3.0,2.0,1130.0,Condo,155000.0,Anchorage,AK,137.16814159292036,West
3.0,3.0,1301.0,Condo,225000.0,Anchorage,AK,172.94388931591084,West
8.0,1.0,7560.0,Multifamily,610000.0,Anchorage,AK,80.68783068783068,West
2.0,2.0,1075.0,Condo,155000.0,Anchorage,AK,144.1860465116279,West
5.0,2.0,1460.0,House,253000.0,Anchorage,AK,173.2876712328767,West
3.0,1.0,1128.0,House,252000.0,Anchorage,AK,223.40425531914894,West
